Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0,-0.278704026,0.546651514,-0.470509656,0.77322904
0.01001,-0.271199709,0.377444056,-0.456309693,0.651330817
0.019989,-0.21954716,0.204711166,-0.247140756,0.388826658
0.029999,-0.196361781,0.056292753,-0.105738124,0.23001603
0.040009,-0.15731846,-0.041495497,-0.079437933,0.181056232
0.050018,-0.062107955,-0.1900291,-0.014177744,0.200423216
0.059998,0.030033054,-0.175340456,0.142104882,0.227684117
0.070007,0.046989394,-0.099767094,0.255118112,0.277932955
0.080017,-0.076102974,-0.007993875,0.36749458,0.375376919
0.089996,-0.252258531,0.011418004,0.324590051,0.411246202
0.100006,-0.454209081,-0.023897424,0.167052028,0.484544483
0.110016,-0.642809852,-0.065261943,0.093123926,0.652790696
0.120026,-0.699714955,-0.053133356,0.028316311,0.702300495
0.130005,-0.534602449,0.024335234,0.022417055,0.535625341
0.140015,-0.301457296,0.039293874,0.150013826,0.339005395
0.150025,-0.052783108,0.018588883,0.359341807,0.363673119
0.160034,0.183047671,0.012598118,0.418475284,0.456931861
0.170014,0.275912273,-0.014736153,0.435310587,0.515596784
0.180023,0.268431637,0.002451299,0.421884211,0.500047838
0.190033,0.167288255,0.086796946,0.280642962,0.338052574
0.200012,-0.098137475,0.230177106,0.191300431,0.314973521
0.210022,-0.315369138,0.312873985,0.135601609,0.464473486
0.220032,-0.475464879,0.385392761,0.04024814,0.613363142
0.230042,-0.55331924,0.470011766,-0.105533472,0.733628349
0.240021,-0.617954654,0.471999527,-0.121157817,0.786975682
0.250031,-0.308499975,0.452449215,-0.246054928,0.600354524
0.26004,-0.086235906,0.242618373,-0.128059285,0.287575185
0.27005,0.309626587,0.000843753,-0.164658762,0.350687672
0.280029,0.47593558,-0.086420386,-0.173530743,0.51390279
0.290039,0.2560715,0.029890966,-0.04359567,0.2614702
0.300049,0.086856442,0.193635078,0.007479174,0.21235471
0.310028,0.02466911,0.195771358,0.020374038,0.198368574
0.320038,0.014668471,0.1039518,0.095666295,0.142032323
0.330048,0.182286363,0.065854851,0.166398309,0.255447797
0.340057,0.250638999,0.15623541,-0.000700496,0.295347086
0.350037,0.13482159,0.130220855,-0.457866806,0.494748769
0.360046,0.238732606,-0.024214051,-0.436737308,0.498316218
0.370056,0.312043095,-0.102668336,-0.116756033,0.348631111
0.380066,0.329130121,-0.078605874,-0.000857787,0.33838773
0.390045,0.179581441,0.07095662,-0.329153218,0.38160998
0.400055,0.121523048,0.161621865,-0.207050491,0.289412136
0.410065,0.177009032,0.099459823,-0.032711079,0.20565619
0.420044,0.226950978,-0.071264476,-0.38214244,0.450131332
0.430054,0.241197061,-0.384474894,-0.493706145,0.670628604
0.440064,0.044587504,-0.351048921,-0.438289744,0.563312781
0.450073,-0.184178449,-0.004385412,-0.414861705,0.453928592
0.460053,-0.276144115,0.27475562,-0.15254684,0.418350046
0.470062,-0.236084036,0.509869823,0.065115763,0.565635016
0.480072,-0.278647527,0.566139918,0.148260831,0.648182169
0.490082,-0.192630965,0.349844833,0.126535501,0.418938335
0.500061,-0.225728033,-0.041669817,0.005891654,0.229617573
0.510071,-0.106792743,-0.617520791,0.0027096,0.626692874
0.520081,0.321833527,-0.668665655,0.164666364,0.760135244
0.53006,0.206997939,-0.301249647,-0.227784133,0.43067982
0.540079875,-0.123429241,0.037716441,0.014523314,0.129877766
0.550088875,-0.359877778,0.134782414,0.252082822,0.459591192
0.560098875,-0.490292175,0.194894276,0.370318201,0.644597367
0.570077875,-0.563698194,0.244387667,0.514134563,0.80113378
0.580087875,-0.482501491,0.200704873,0.631102265,0.819377937
0.590097875,-0.317148518,0.101768267,0.48453011,0.587970569
0.600107875,-0.091349954,0.037873256,0.102431524,0.142377718
